Date,Weekday,Daypart,OWNER,Station,Time Played,Artist,Title,Rel. Date,GRC,genre,ensemble,gender,race,b2b_gender
7/1/2022,"Friday, Morris",OVN,Cumulus,WKDF-FM,4:11 am,"STAPLETON, CHRIS",You Should Probably Leave,2020,R,c-,solo,men,white,B2Bman
7/1/2022,"Friday, Morris",OVN,Cumulus,WKDF-FM,4:14 am,"MCCOLLUM, PARKER",To Be Loved By You,2020,R,c-,solo,men,white,B2Bman
7/1/2022,"Friday, Morris",OVN,Cumulus,WKDF-FM,4:24 am,"CURRINGTON, BILLY",I Got A Feelin',2003,G,c-,solo,men,white,B2Bman
7/1/2022,"Friday, Morris",OVN,Cumulus,WKDF-FM,4:27 am,"CHURCH, ERIC",Heart On Fire,2021,R,c-,solo,men,white,B2Bman
7/1/2022,"Friday, Morris",OVN,Cumulus,WKDF-FM,4:34 am,"COMBS, LUKE",One Number Away,2017,G,c-,solo,men,white,B2Bman
7/1/2022,"Friday, Morris",OVN,Cumulus,WKDF-FM,4:39 am,"DAVIS, JORDAN",Buy Dirt f/Luke Bryan,2021,R,c-,solo,men,white,B2Bman
7/1/2022,"Friday, Morris",OVN,Cumulus,WKDF-FM,4:49 am,"BRICE, LEE",Memory I Don't Mess With,2020,R,c-,solo,men,white,B2Bman
7/1/2022,"Friday, Morris",OVN,Cumulus,WKDF-FM,4:57 am,"BENTLEY, DIERKS/BRELAND/HARDY",Beers On Me,2021,R,c-,collab,men,multiethnic,B2Bman
7/1/2022,"Friday, Morris",OVN,Cumulus,WKDF-FM,5:02 am,"COMBS, LUKE",When It Rains It Pours,2017,G,c-,solo,men,white,B2Bman
7/1/2022,"Friday, Morris",OVN,Cumulus,WKDF-FM,5:06 am,"WALLEN, MORGAN",Sand In My Boots,2021,R,c-,solo,men,white,B2Bman
7/1/2022,"Friday, Morris",OVN,Cumulus,WKDF-FM,5:09 am,LITTLE BIG TOWN,The Star Spangled Banner,2006,G,c-,group,male-female,white,X
7/1/2022,"Friday, Morris",OVN,Cumulus,WKDF-FM,5:13 am,"JONES, GEORGE",Finally Friday,1993,G,c-,solo,men,white,X
7/1/2022,"Friday, Morris",OVN,Cumulus,WKDF-FM,5:16 am,"MCCREERY, SCOTTY",You Time,2020,R,c-,solo,men,white,B2Bman
7/1/2022,"Friday, Morris",OVN,Cumulus,WKDF-FM,5:26 am,"LAWRENCE, TRACY",Find Out Who Your Friends Are,2006,G,c-,solo,men,white,B2Bman
7/1/2022,"Friday, Morris",OVN,Cumulus,WKDF-FM,5:30 am,"LAMBERT, MIRANDA",If I Was A Cowboy,2021,R,c-,solo,women,white,X
7/1/2022,"Friday, Morris",OVN,Cumulus,WKDF-FM,5:33 am,"ALDEAN, JASON/UNDERWOOD, CARRIE",If I Didn't Love You,2021,R,c-,collab,male-female,white,X
7/1/2022,"Friday, Morris",OVN,Cumulus,WKDF-FM,5:39 am,"LYNCH, DUSTIN",Thinking 'Bout You f/M. Porter,2020,R,c-,solo,men,white,X
7/1/2022,"Friday, Morris",OVN,Cumulus,WKDF-FM,5:50 am,"MCGRAW, TIM","I Like It, I Love It",1995,G,c-,solo,men,white,B2Bman
7/1/2022,"Friday, Morris",OVN,Cumulus,WKDF-FM,5:56 am,"SHELTON, BLAKE",Come Back As A Country Boy,2021,R,c-,solo,men,white,B2Bman
7/1/2022,"Friday, Morris",AMD,Cumulus,WKDF-FM,6:06 am,"BRYAN, LUKE",Most People Are Good,2017,G,c-,solo,men,white,B2Bman
7/1/2022,"Friday, Morris",AMD,Cumulus,WKDF-FM,6:11 am,"JONES, GEORGE",Finally Friday,1993,G,c-,solo,men,white,B2Bman
7/1/2022,"Friday, Morris",AMD,Cumulus,WKDF-FM,6:14 am,"PARDI, JON",Tequila Little Time,2019,R,c-,solo,men,white,B2Bman
7/1/2022,"Friday, Morris",AMD,Cumulus,WKDF-FM,6:25 am,"SWINDELL, COLE",Ain't Worth The Whiskey,2014,G,c-,solo,men,white,B2Bman
7/1/2022,"Friday, Morris",AMD,Cumulus,WKDF-FM,6:29 am,"RAY, MICHAEL",Whiskey And Rain,2020,R,c-,solo,men,white,B2Bman
7/1/2022,"Friday, Morris",AMD,Cumulus,WKDF-FM,6:34 am,"MOORE, JUSTIN",We Didn't Have Much,2020,R,c-,solo,men,white,B2Bman
7/1/2022,"Friday, Morris",AMD,Cumulus,WKDF-FM,6:38 am,"BALLERINI, KELSEA",Half Of My Hometown f/KChesney,2020,R,c-,solo,women,white,X
7/1/2022,"Friday, Morris",AMD,Cumulus,WKDF-FM,6:49 am,FLORIDA GEORGIA LINE,Long Live,2020,R,c-,duo,men,white,X
7/1/2022,"Friday, Morris",AMD,Cumulus,WKDF-FM,6:51 am,"COMBS, LUKE",Cold As You,2020,R,c-,solo,men,white,B2Bman
7/1/2022,"Friday, Morris",AMD,Cumulus,WKDF-FM,6:56 am,"BRICE, LEE",Love Like Crazy,2008,G,c-,solo,men,white,B2Bman
7/1/2022,"Friday, Morris",AMD,Cumulus,WKDF-FM,7:06 am,"HAYES, WALKER",Fancy Like,2021,R,c-,solo,men,white,B2Bman
7/1/2022,"Friday, Morris",AMD,Cumulus,WKDF-FM,7:09 am,"JONES, GEORGE",Finally Friday,1993,G,c-,solo,men,white,B2Bman
7/1/2022,"Friday, Morris",AMD,Cumulus,WKDF-FM,7:12 am,"ALLEN, JIMMIE/PAISLEY, BRAD",Freedom Was A Highway,2020,R,c-,collab,men,multiethnic,B2Bman
7/1/2022,"Friday, Morris",AMD,Cumulus,WKDF-FM,7:22 am,"ATKINS, RODNEY",Cleaning This Gun (Come On...),2006,G,c-,solo,men,white,B2Bman
7/1/2022,"Friday, Morris",AMD,Cumulus,WKDF-FM,7:26 am,"STAPLETON, CHRIS",You Should Probably Leave,2020,R,c-,solo,men,white,B2Bman
7/1/2022,"Friday, Morris",AMD,Cumulus,WKDF-FM,7:30 am,"SHANE, ELVIE",My Boy,2020,R,c-,solo,men,white,B2Bman
7/1/2022,"Friday, Morris",AMD,Cumulus,WKDF-FM,7:36 am,"BLOCK, PRISCILLA",Just About Over You,2020,R,c-,solo,women,white,X
7/1/2022,"Friday, Morris",AMD,Cumulus,WKDF-FM,7:47 am,"HUNT, SAM",Breaking Up Was Easy In The...,2020,R,c-,solo,men,white,X
7/1/2022,"Friday, Morris",AMD,Cumulus,WKDF-FM,7:53 am,"DAVIS, JORDAN",Buy Dirt f/Luke Bryan,2021,R,c-,solo,men,white,B2Bman
7/1/2022,"Friday, Morris",AMD,Cumulus,WKDF-FM,7:56 am,"BENTLEY, DIERKS",What Was I Thinkin',2003,G,c-,solo,men,white,B2Bman
7/1/2022,"Friday, Morris",AMD,Cumulus,WKDF-FM,8:06 am,"HURD, RYAN/MORRIS, MAREN",Chasing After You,2021,R,c-,collab,male-female,white,X
7/1/2022,"Friday, Morris",AMD,Cumulus,WKDF-FM,8:10 am,"JONES, GEORGE",Finally Friday,1993,G,c-,solo,men,white,X
7/1/2022,"Friday, Morris",AMD,Cumulus,WKDF-FM,8:12 am,"WALLEN, MORGAN",Sand In My Boots,2021,R,c-,solo,men,white,B2Bman
7/1/2022,"Friday, Morris",AMD,Cumulus,WKDF-FM,8:24 am,"CHESNEY, KENNY",She's Got It All,1997,G,c-,solo,men,white,B2Bman
7/1/2022,"Friday, Morris",AMD,Cumulus,WKDF-FM,8:30 am,ZAC BROWN BAND,Same Boat,2021,R,c-,group,men,white,B2Bman
7/1/2022,"Friday, Morris",AMD,Cumulus,WKDF-FM,8:33 am,"ALDEAN, JASON/UNDERWOOD, CARRIE",If I Didn't Love You,2021,R,c-,collab,male-female,white,X
7/1/2022,"Friday, Morris",AMD,Cumulus,WKDF-FM,8:40 am,"LYNCH, DUSTIN",Thinking 'Bout You f/M. Porter,2020,R,c-,solo,men,white,X
7/1/2022,"Friday, Morris",AMD,Cumulus,WKDF-FM,8:49 am,"OWEN, JAKE",Made For You,2018,R,c-,solo,men,white,B2Bman
7/1/2022,"Friday, Morris",AMD,Cumulus,WKDF-FM,8:53 am,"BROWN, KANE",One Mississippi,2021,R,c-,solo,men,multiethnic,B2Bman
